6a6bb6a8378aee900dbc832189483535_0_3 8,7,14,3,29,31
cbf6121e81f0d21405266a0af84bf3e8_0_9 3,16
5c02c415aa2a24bd1f51364ffb5886f6_0_3 9,5
82bf6798cb882f01e96ec184ad1546e4_0_0 14,29,31,8,18
4ba02d78521cd09df2c06fd2f9a41fd1_0_0 3,8,29,7,18
248abb161b45b65e400d6dbcb480ba2c_0_1 8
02eaa7428a8b8cbb9d221de8f0aebbd0_0_11 31,14,29,8
736f7ff5a4af765a69120b3ca607a0e8_0_13 3,8,29
411cf8147ed7727baca78f68ab4876f7_0_31 8,18,11,20
3f3ed5ef09ee2c2f9856afeb9905449a_0_0 8
024d056bef76590dc4a7d0126471c4bf_0_0 29,8
9ae200cfafe0e3c1a0ed244f0cb567c3_0_21 11,25,0,9
764a9e17047e3af16519b80892c96b70_0_5 8,11,20,18,22
ab1d0c5bc615caa3b0bc36facac3b30a_0_0 8,18,11,16,20,3
28da78f5b3353b37bc8992386b94a943_0_0 16,3
90ca754d935ec4ccd3d311de1e91e309_0_2 11,20,8,18
34f4977e20cf40333822dc6b193c6e2a_0_3 29,8,14,3,31,30
31eeb17ebc813e2c1177ce9096241206_0_5 31,18,29,9,14,8
6589484549a09ef5b37ef04a019925f6_0_7 0,28,26,13
10571091bf851ebbf99f8d3f3694a65b_0_0 8,7,3,29
1b641e98da8fb532c1d2f28e1b67216a_0_0 9,26,3,8,2,0,29,21
4617114891ce423baa0f9e658ba3dec3_0_15 11,20,18,22,8
acf74196f81e704bfbc4b8615cae0644_0_2 16,5,3
4fa9e35c748b93e9bab4e3550f3e2569_0_1 10,8,18,9,14
df6f59c2548b2260bccab49fa12bf6ab_0_17 29,8,7
30c400630e100ff3eeb58fbd13f4e2b5_0_5 8,14,29,31
7f21bada90f3832c95d4f626989dec91_0_53 9,14,8,31
69cecd9513efb732e933c109c578a0cb_0_1 3,18,8,31,14,29
08d1fc469e699f5d80d66036a8777a67_0_9 18,30,8
b5e98d7ceee8edb54eca60fe186ff007_0_1 3,21,8,2,16,18
4b9ef5e6e019a208e24e8cd991ea35b8_0_0 8,5,29
638b843bf45d26206e0192ce7481a152_1_3 11,20
e3e90157eb6b0416e33630816a910064_0_69 22,8
7c377538f9e6bfa5561b604f248f7d78_0_7 8,18
1d904b86ad8d3d041ff2981a05689ee6_0_10 8,23,5,29,3
38bf5a6175adfe1dd3df3bf34ac7da52_0_3 3,7,29
83b754323777283696874aa4498752e2_0_7 18,9,8,14
fbfe6b89df7c63d3c11922c812deb72b_0_0 7,29,8,31,3,14,18
0e9adce2c2352d1817cec9664c686310_0_4 8,22,18,9
bbea8589524bc043fe54527e4245e1ab_0_37 9,26,0
d789a02eb3491d22572783684443eb3d_0_44 18,8,22
84234f0d27bfa13f9da51823491da028_1_1 21,2,16,3
3f574127f80fc7edb39e625b7cb19bd0_0_3 18,20,11,8,15
526bc6ce2dc8f615f411f5ebb894ebc4_0_1 9,25
e4ea1e305a215af71b6b91b90d77f09b_1_0 9,2,21
d9210df3a9d8d0246b2fd1adaea472fc_0_0 16,3
21d1db39a21cdfd839b05c8e481f6e39_0_1 26,9,0
83bf758bd14c5529121acee847e42143_0_0 3,16
e442c931d7e5b8c56b9c0523a619c21e_0_5 3,16
f7f6188a6f7011a96aeed554268094ec_0_7 26,29,8,1
e1fc0254e10f105a2ae906401897ef42_0_5 9
3b74c32b27868ab598eeae0ad87f50b4_0_0 8,3,16
290fbb531049bf35414c41b1407fcbdc_0_13 26,9,8,20,18,0,25,22,11
b177583a2afec360114876714999687c_0_2 3,7,18,22,16,14,31,11,8,15,20
c89c7cd5fa69cc37c9e5c82dd9ed28ab_0_11 8,18,22
23e7e1efd020895fa43df42d15b1add3_0_2 22,18,8,11,20
e6f94b2ba499add225f832f538afbe75_0_1 25,0,9
f459cac0a2d21f967f6d7f7f657cd7cb_0_0 9,0,21,2,26
957cdbee957af4364d21bbf3f7155e65_0_2 10,18,30,8,9,25,11,0
d292e84a28e6f3fe399734abb4f24154_0_14 18,3,29,8
c472a35e7d3ef5f693f8453dac708a0b_0_2 7,18,16,8,3
7cad18a74983fc8a3634d2d1604c1411_0_0 22,20,8,11
7a56819f6066ed351d98009a418de759_0_7 18,29,16,3,8
4288cbd9aecf46f476630e720667a353_0_4 5,33,11,21,20,2,3,22,29,18,8
06029927b2e0d4018a6f0bb51b999184_0_15 16,20,8,3,11
2cdd03d48ce4d722826658e06f6ec6d7_0_15 26,25,0,9
2643fac38f62ad8d51a158266df57a5c_0_5 3
430b01333164c823103332f5f05558fe_0_5 3,8,29,15,22
2acee701f20b839fb2a13ccc9afa159b_0_0 29,8
0c91d9762d2ebbfc8a9747494e34ffaf_0_30 16,3
604bd60c069f64b144bc4cb491808337_0_4 30,29,8,3
5ed790581fca66586fd11bc45e0a7a53_0_0 29,3,7,8,18
5a78d9e46147987b78d97d347a42b435_0_2 29,8,7,18
9004e80e453b0879e1298bc43f7974e8_0_5 4,29,27,3,8
487feb255d97a93b6c06fcdfd4050d3d_1_10 8,22,20,11
9459c94d42d28724268c28332a6b36be_0_0 5,8,29
bf700788818fea7991cdbe5cc2b1802f_0_0 27,29,20,4,11,3
bd68c3a82d8a9a11a41847eb40d8e127_0_32 9,0
62cdb58bd91c731f85940200ca6dc83d_0_9 29,7,14,8
d789a02eb3491d22572783684443eb3d_0_47 22,18,8
d2e11dd52fbbfa6f166933205f2aa176_0_5 14,8,29,31
938e761d82c289f47caa7c52b2653294_0_2 20,22,11,8
d5b394efebfb4a30d5bc2f82b1c7f394_0_5 9
b16ec5c393af03a65ea6d3385364bd70_0_2 31,3,11,16,20,14
0ea13138c68531754cdb059bf3fb1ba8_0_14 26,0,9
1d06e5ef212bc6208cf4a87a6f6d12fc_0_0 9,6,18,22,3,21,8,2,7,5,29,11,27,20
e219e4c46a702668d6d362fbd6d51555_0_0 20,8,11
3f8ba14f090826cf6aa76441a79c5f21_0_0 9,7,3,29,25
b0f69d00bc68719ad0ef715a9d04957a_0_0 21,16,3,2
94a298bce294e0668d71d02b7fbf551b_0_2 28,13,0,25,9,26
8f0823c58d959fcfc5ab8c6f6991dc9a_0_0 31,8,14,18,29,3,2,11,20,21,16
cd4ee16c13924896d37c01e52f4e7ca3_0_0 18,11,3,16,20,8
d4061c34a26193722f8e4bf252a34a7a_0_0 19,14,6,8,31,29
210af767dee002e3fdbe694f857bd17f_0_9 26,1,25,9,0
50753e48e9d352f25ebc132777c824dc_0_4 10,16,3
271f6344400c9a4997d2a4f79ca9a1c7_0_7 11,20
a9dcbbcb3c450418f6a88965c30c07c7_0_3 0,1,26
ea57e1df90d00592b6b87389f8fb6c25_0_5 26,9,0
382fb291ae5dd9941d2da071d02ab9c7_0_1 26,9,28,1,8
8c61d54a728c37591e094fcffd663d39_0_1 29,8,5,7,23,3
76f02eebd05823b2cc31eabdcd0198eb_0_0 14,4,8,11,20,29,31,27
c5fbf1bddbb7948dbaf56c7dfd1eed5d_0_4 31,14,8,30,29,3
d7ca958d075b1d92f9aad451ff3bed80_0_2 8,29,14,31
2c1fb97e2b38607dff7d1ecc3bcd5580_0_5 31,29,3,14
0f668254875bafe365681b002e5d0631_0_3 16,3
39e75d35d88f4b61aaa24a42340f3984_0_1 9,25
c7ce0e95ae0de84e5c62297db548220c_0_21 20,31,8,29,18,14,11
d1716cf8e6aada40bf4e41f0586dbedc_0_12 3,16
3085629a57bf8f21884c29195f2e786b_0_23 29,3,8,31,14
7ead3da549a584ac8180bd8fc6411d0e_0_11 26,0,25,9
e483b107c565d870dfef2a2df288611b_0_1 9,0,26,25
6735dafaa03d62ad2046c4e33a3ace00_0_5 18,8,26,1
bf459c7cd99eddc16b56cc5b8c88602f_0_0 3,9,0,8,25,18
c6efdf8b87274af2bd685bd558e954ce_0_1 9,0
d7daf2204be256767d23653409011252_0_6 7,16,3
70fafbe8e59e233dbceaba8a205d4c3a_0_13 9
020179798688014a482f483e1a5debe5_0_0 8,29
8c90ccac4a6e1853352b0cfb645bccea_0_19 3,29
9e870de85172f8b930f9c6e1b0c5a23a_0_23 28,9,0,13
6fd2c1032db0f6213e4727e7fbc96489_0_2 22,8,18
f3950b8837635a05fa23d3757a540736_1_1 3,29,27,7
1a499a07f6d2425bcad35c0e685be587_0_18 3,7,16
8a1ec7d1683f23ffeecc4a89e672c148_0_1 3,29,7
6a8bc0f27a6c62d83771c958dd6bb618_0_1 0,9,26
31638f84ed692e5a7ce36a83df1995dd_0_13 8,30,18
7769cd09a66079d509b093d8eff86ac3_0_12 8,18
3521c717a0a33ec1a77276a12b946d8f_0_0 29,9
86e83f19d73b9108545a3845332227e7_0_326 18,3,8,29
bb87daeb8b790b01e01f60814e2d794b_0_33 3,16
d498368f3364227a06b4011bd72c40b9_0_0 1,0,26
f283672bb0d8e3e44b54fd8d6bc9efea_0_15 18,29,8
73fc0dc83a13633fa198a299cf042c03_0_4 3,14,5,31,20,16
81f7bda1680fe92cd319be4fbec3f57b_0_0 18,8
e055d9c0b33fc7317d7628b99cfc73b4_0_5 29,3,12
e27ce2b89321fc531affeb794031b0e2_0_107 1,9,25,0,26
07dce830f1a0a34ed1bf842a2008b0f1_0_12 11,8,18,22,20
db5d50909c5dfdd48a964576927490e1_0_3 3,16
8c97aa984ca09bf6734862115641e705_1_4 22,8,20,11,18
98e96fbb9b7fa88d074a51e83c229836_0_0 18,29,3,7,8
849f4af863812b931a7ddc38b9cb9e88_0_3 9,22,20,8,11
d68cc34af7c5833c854857c1bf33dc31_0_38 15,11,20
225feb14cc1d898dbf37dc8590897aff_0_0 29,14,8,3,18
e850a6f2fe3ce7645ab877db5e45398c_0_0 11,20
43c5f25c9ab50b9ab18145ff59a629ec_0_10 0,9,26
ea47f8ddb995f8008d2122713069f5f2_0_10 20,11
65ef070b3fc6cbc8a72cee85607effd9_0_1 29,31,14,8
b0fe6365b6809b0b21df95fdf509565f_0_0 11,18,15,8,20
1eaf84a13d3e60a10cdb3529189d0cc2_0_4 11,18,20,8,22
e0c96f897c69c18cb99eb0c3adb942b6_0_0 25,9,11,0
aeb98a40a379436eccd6ee477e9b5849_0_1 14,16,3,5,23
e6e4d5d56a13bf2dc0b3d0a075935764_0_0 29,3,16
8527f05f7d8d7cddf959c105299321b6_0_3 26,0,9
e0537f09a8167a18509fa5f457c54519_1_16 16,3
c188daf0a1453c565adc11aa43cc7357_0_1 8,29,3
c9e0448d0d042a3797d6eb547e97b748_0_0 8,23,16,3,5,29
fe91e8d8f24a1512076a45acc573f996_0_2 3,16
ec23c47fb4b3b239b6c3b4dd340e28a8_0_0 9,29,14,3,31
5c74a17d38bce78ff1127cd7d7cd2997_0_25 22,8
6ad99d9fddf26e60ed2c183a0a7ba5ef_0_3 18,31,3,14,29,8,16
9e9b4484c972b2bfb0eae6c016cadac2_0_0 20,11,29,7,21,8,22,18,3,14,2
5310d8efa4d081a9a033ebab98fdd971_0_9 9,17,0
69936e3f5ea08169b997fc7b7fa20815_0_0 9,25
88cc8ccbfee569ca3451d3be5cb9ce67_0_0 8,29,31,14,3
943aeb3f830c433b6bba299fd83d3e40_0_7 9,26,0
08938193a000d97688e9ddf1279c006a_0_1 9,3,29,14,31,11,8,20,22
b2f7bcaeba6339d12fae84123a9f5b2b_0_7 9
839becd7f69f3a66c3ac1f243195c952_0_0 3,8,30,16,18,22,29
3abf3daf730aa3d3689b9ed62861b41d_0_2 2,14,21
62e0bcb963a622a275dc175db4b08635_0_14 25,9
5a00bb396699b514544de5b12cef3140_0_7 26,0,13,9,28,25
04f540b984d0bbde2b7138d549c7e894_0_54 20,11,22,8,18
07e231b26579e6bfa0e5decc54d9f260_0_3 29,8
db705407fe2142a37c390bbcd3b5ede5_1_12 18,11,20,22,8
2c1fb97e2b38607dff7d1ecc3bcd5580_0_11 3,16
29fc39942a71b99d58caa6fe5df473a1_0_7 7,3
bab62f036a712b7fc0b541f81ffd6db5_0_4 25,0,9
fbdb5fbffc33f6e681327e364931366d_0_0 11,18,30,8,20
4390871ad111ec08535dce4190db21ee_0_0 29,14,31,8
577012037ce883ef73de7c706fb38804_0_3 31,8,7,3,14,29
15399ec8a34931704b34cc1113d428c0_0_42 29,3
4116854e721f7d7ee64316b927cd3d3a_0_2 20,18,11,22,8
f76cf7e17266ecbdf32e4246f55a328a_0_27 8,18
58982652fb72bfb3292cbe8bfb7d7813_0_12 6,8,27
f8d6f82868d6fd53525b3c2cae7875a3_0_1 7,9,8,29
fc6a05d1ef61667f25d8ec244a9f880b_0_3 3,8,16
f515ae4688a766365eee32863229958a_0_0 29,8
854cf0b22e7497a11133984146243b5d_0_4 18,29,8,3
94c8626bbe17f9dc1c13e106b72af273_0_0 8,21,2,7,29
8fefe99852fbaec1b126ad200b61f4a8_0_12 20,11
7670eef39930a8798fa1f04309242eeb_0_0 9
4fd4c41261cbefa7e628f2629e88c2d3_0_0 14,31,29,3
21825ac58e6b11e253dc460eef342895_0_0 31,29,3,18,14,8
7d264311e5856b81902d3f9f5799cc32_0_325 9,25,0,26
ed3d68fd163a52b76616da91afb6cfbf_0_4 31,14,3,29,8,22,20,11,9
1dba3a1039c6ec1a3c141a1cb0ad0757_0_1 8,18,14,31,9,29
565f23fa391ea5faf61d376dfeb66910_0_76 3,29
d4fe2fb0ed122c2741157b03c591654c_0_0 3,9,29
90ba156f17b03ee126543e086d60c6ac_0_8 3,14,31,8,29,18
3dae265792a7fbc444e1c70274514050_1_2 8,6,27,22
fc3aee5b9a044715662ae3913c560007_0_9 8,20,18,11
5c6a39d017c7bbd0999cc231d23df6c2_0_13 30,9
a7299c93ce9db90e8e23b21145b49e6e_0_2 5,31,9,14
f911ca07442bc2b640eb2e77f37f78d2_0_8 18,9,8,26,11,6,20,30,22,0
1f0db7879df1e1ea98a28a7eee53cb81_0_83 11,20
91ef20c36b5836d46332ac7612d2e12a_0_2 20,8,11,22
936076fcecef26d90f8d245af898d22c_0_5 3,29
4f1bf93a502b9cb87704575fec863bf0_0_64 8,11,1,9,0,25,26,30
014d4489d6a284ad8db13710a9fa3c9e_0_2 30,8,5,32,1
fdd8aeb606feffc29b88255709056365_0_55 22,20,8,11,15
5954a37d77c05de29c13e7a09549568c_0_24 30,18,8
76d4f2aa15847bb778b828ed81753e6c_0_1 8,29
b021ab18bb170a167d569dcfcaf58cd4_0_17 28,9
f67e6f01d0883ca09d621a3b53c861f5_1_7 9
582acca17a21daa6b32e91c376862493_0_0 20,30,9,18,11,8
db539a8f6135ad2dfda85802301b4abc_0_1 3,29,16,7
6c5502494ca3088850a47bc2b30b96bd_0_0 3,29
d7bfd1c8844da1369339978c7ce42049_0_9 16,29,3,8
161a25dff5f1699d0aa54941d0a68d7b_0_2 18,16,22,11,20,3,8
1dfb699965f07336bd3dc64ac92c0ed7_0_4 3,7,16
d75ca9443a5659a78fd77ae4c91f7a4b_0_1 11,20,18,14,8
dcf56f82904f1a4b2c7eb65270e9e16e_0_1 3,11,20,18,8,22,16
e0d3352d3dd6379504132d4acc2ceb51_0_59 20,22,11,8
5979a18ea4ce113ec9d7b2d447747d5c_1_1 16,5,3,33,21
302c642dcb63d7f577bc876c854d8043_0_0 29,7,3
895397c895e777e9dc52013089388149_0_0 9,0,17,13,26,28
7536f3788145fefda387ccd15ee354b2_0_2 8,30,22,15,9,18
b0608d49ce7d4af735950faccdf9cfb3_0_5 11,20
64b5b677e4733c62c7bd37e21e690663_0_101 6,21,18,27,11,2,20,15,5,8,22
e92a6f37b81009685d067e75b52649e8_0_4 8,30,18
1ab3bc12deb6abbfcb5ef73f3a95856f_0_68 30,9
a229ecffead50c8ce6b502d7011277ee_0_1 16,29,8,18,3
fbde5783e7d3fdc191d153c3d2929747_0_188 22,8
19f475356b0fda2b498ce9f095d0466e_1_8 8,22,11,20
0a80361369c96c8e62d9144683aceece_0_2 22,8,18,11,20
3b1235e4bc04f0ef16d2a9af8d167620_0_19 9,0,11,25
e03498e53f14480265af7bbe6ba3ad3b_0_0 29,3
b8ef56df000bfb167b78eb3ae604926c_0_11 5,32,29,8
7fbdff704349e5362646981ecef0fc81_0_0 8,3,29,21,2
94197d1f33fe81c2d9d847c76c09a11e_0_3 5,18,11,20,8
1bc61824d779485346a0cae329ee8902_0_4 2,10,21,9
0e9f4bb182bbfa8ca132036b80ffd0bd_0_5 8,3,18,16,29
faf353608fd7b61ae1fdee8df5668bd6_0_1 9,8,30
7d5d78a395755d369841179d9b6b3c8d_0_8 18,8
9a3f253c266bacfab4c86ba72597a5a7_0_23 18,8,20,22,11
a5956539def476aafdda8a72e6f45e6e_0_22 3,16
8224c6f884de9cae6d05b9144bd70e9f_0_9 7,29,3,14
3b7bee72a2d51be1633501179ba3f73d_0_2 8,29
ea9fb1f0d1c1fc19ffa40919750a7a80_0_0 21,14,31,18,29,3,2,8
e406e526305f0176a4186eecdd9e13f7_0_3 26,25,0,9
4e2def865ee29ff07cc0c5d024722c84_0_0 9
608172d7989b333174a8cda201f61561_0_3 8,18,16,3,22,29,11,20
2e33f6cbc0572efac33ff713a1eeebd4_0_60 8,18,29
69472be2b3c202232a8fff376e5843fb_0_3 9
07dcc783a318e50156a252af4e922c43_0_17 3,8,29,9,16
a832f56cf02d84ea39ffdcd1519f1232_0_8 3,16
862412634ebc0ba17885fafe5cb504cd_0_0 16,3
3f16b869913524f1d1c7c75030666f8b_0_12 9,8,11,22,20
7d91e3719292d4b43b8700a03995adba_0_16 26,9
790a6c740bdeee31634b8ceaf8c4fc85_0_10 20,22,8,11
a0739fbac1a3aca0d508110dd7435a9a_0_62 0,9
722cfb3f46cd8a7804c73120894bf61b_0_0 3,5,16,20,8,11,22
76a2ab61ae0a51fafe1d63b6b4d3a917_1_1 9,22,8,3,16,11,20
075c8d7a8bfd7ffa3281156040bb7971_1_3 23,9,21,8,22,11,2,20,18
23bd8dae3f02085b2204a2510641b4dd_0_7 25,28,0,26,9
925f12518e73891bee79eee27d08f351_0_5 9
39255899f7430df3a7b4c229ef1a67ae_0_0 29,3
8e749bc05ea1297a9c656c1036c0adb5_0_2 25,9
05ce479581325b063383505eed5f0639_0_2 11,20,8
96e3526c1a3805972c3007e150a99f6f_0_10 29,16,3
bb09fd90b61abf0ece1e9069c8389c00_0_7 8,18,30
97e26036c9b3d77e46df8cc44808d9bd_0_12 11,20
5fea8a6715a8fb7a7d15ccb0c687f93e_0_0 14,31,3,16,29
bb87daeb8b790b01e01f60814e2d794b_0_24 3,8,29,14,16
02dbe4525eee2c9cc4f7e16c34905793_0_2 29,8
950bd2deb981470bee904aef95102e6f_0_102 3,29
abb4e6168ff998dab45133072d62e309_0_29 9,0
8e11eb66d64406da10b6463a0d48216c_0_6 20,29,3,11,18,8
039a95f6c0b80b93b01375775e8e38fd_0_0 11,22,8,18,20
8c90ccac4a6e1853352b0cfb645bccea_0_21 11,20
95e0abcf10f008f8d0a187fddc0f1bf0_0_1 14,22,8,3,31,21,2,29,20,18
19d43b431ecb0f4517409081db5f49fc_0_3 0,26,17,9,25
decced662fddcba92f8de0a8c2c6b836_0_3 29,8,3
68312e79b88513c6d664d92c5ed80c10_0_7 16,3
b30c9067a58a438dce8310ad0dd4b8a4_1_5 3,16
314da0bfb2c3625defdb6e6aa1b3c046_0_20 18,7,10,8,3,29
06c83a1aef177d58689cef5f8eb4db77_0_14 18,29,3,8,10
b54bc00d95375ebfd5b1852413ff3303_0_0 20,18,11,8
1f137f38dc41cef33d85224b1b695b85_0_5 3,29
2741402ca7c8ddbf983e9a1518b7c97e_0_4 14,16,3,7,31
52f68ae82a77518be87cad47a812a8cc_0_3 22,20,11,8,14
321225bfe015100d0f4f5d7eb930d093_0_5 22,8,18
129ca8f14fed6364b87aec6de17cd64c_0_10 0,9,26
49a42ec3c15db061c01bba61eea2b930_0_7 17,9
51ccec8de13e99f08e6e9ccd3f997cd7_0_3 3,29
186a654df40381d6db3c368a95db0c5d_0_2 22,8,16,2,10,3,21,7
38a67547eec764249b6c016995f4c95f_0_15 9,23
168f51169ce6918efbcb2af0b28ae2cd_0_0 18,14,8,31,29,3
243c172711978e92893690f2ea529ae6_0_6 28,9
81e6abade77dd685a87d7381d82e81b8_0_18 18,8,3,16
ac15c2c87e05eb2ac8086baf7142b600_0_8 3,16
26adac8d9822755c132ba73e0b489871_0_2 3,29,9
5cf98dc10b43762d81b23a015c87d35b_0_2 16,3
e442c931d7e5b8c56b9c0523a619c21e_0_0 8,29,31,14
957fb650c63985f2c37093a552a4ed61_0_0 2,8,22,21,20,18,14,11
312df8e315d435ffe1fe8092e41517d2_0_2 2,8,29,21
339145644ffbea6dc80bd6fc803f9f37_0_4 9,0,25
538e9421d5dc8d463c3ec63603f91b3b_0_1 1,30,25,0,9,26
b5588edea584515dc1e5c48d4c5af600_0_0 8,18,11,20
8507cb914d2fc5dc3960529dd9d4579e_0_7 7,3,29,8
a13f74d49ed20b6b2310cb309122164e_0_0 3,11,16,20,7
eea6e3c22d6b78b4061831e71704497b_0_42 0,9
f04c862c217677ef3b9a1f24cde81a9c_0_0 29,10,8
9e6d9485437f9083b3c48e9f612b75cc_0_4 3,29
1697cc973c66ac8fc76124f3b6523603_0_6 0,26,9
4b7333381bdc46433c1f922cdbeb7376_0_0 33,21,2,9,5
fedb96162abd26fe002a4ab0fdb48cc3_0_179 8,14,29,31,18
ce6a2fcd27ef51f50c39f7e9d499567d_0_10 22,16,29,11,3,20,8
5b6bc44326d91533427152c6ee491e4e_0_8 5,16,3
c4febc84d0497ead45859309bd66ac6a_0_4 20,11
779619986c0b5d0ccad0251d2e0f8cd0_0_7 22,20,8,11
70d1f1d20e89487ddb6ba7c92ef6023a_0_0 20,11,15
5d9f2977e900b6f37ba40b8eb9f70ffc_0_7 26,9,25,30,0,8
9905b7ce5cd505a884254b9cfa3b5770_1_4 16,3
5566b40583603b9567d8814dfd9a0a95_0_0 11,22,3,20,18,29,8
1862ac81fc958890bb31ee9afd2749b4_0_3 0,26,25,9
d11d3854f714c6abe9cedf66364e83c3_1_4 9,0,25,26
c45dffec69467186cc7153f639d875a8_0_2 9
6066c9f7fb4e7d1abcb011ef814d4662_0_3 33,9,5
45465276dc82a163e7a5bc903701b90f_0_0 3,16
4c6e5e3d0a2d2cb3d4c080114b907ffb_1_0 7,3,16
eac58712e6a4d0e07710dab1e479fc98_0_121 26,9,13,0,28
8c2951c6ca28d2c1c94bb563e0af2e03_0_16 18,20,30,11,8
0eec52fa82994a6cc333e574513c85e4_0_2 25,9,28
49539872a84d2479660ae0fb34c1b1fe_0_3 29,5,32,8
0a2550481676f075e5125afd6e4ad02c_0_5 20,22,16,11,3,8,18
7a36d3e149416d09a9b5b0abd458e663_0_108 8,29
273843ceea1db736fafed8a602320235_0_4 21,8,30,2,18
f6103fedadb8edff2460fb28d9c2dde0_0_2 25,0,8,9,30
9038fb31bfec0b4c6c4d2bbd87dbb300_0_8 3,16
1b52757a5f2c2e2ba8aa837b02926e78_0_12 9,26,5,25,0
e84525fa70c13dc1b07399e3f7e3d328_0_0 3,8,18,29
95b494f55f2fa1e7dc5a61073cb1dfd8_0_58 25,0,17,9
8efb0291d004e370a3295382505e56a0_0_1 19,8,29,6
b4485240c8fc52a26785e3fd06fe0d80_0_0 31,0,25,3,14,29
7c1c4ca425074956b2ff4587633233e4_0_18 9,26,0,25
ea41bd11b5c0b769558a620734451d99_0_6 11,22,8,20
bf764edccbc058dc60b56005cf677370_0_12 3,16
228faa27deddba10d6bc8ed0bd17a41f_0_7 7,8,18,20,3,11,16,22,14,31
dd1771f8c8a0f7881b7991f01e594bc3_0_5 9
a083150f9f68a3e2027794db0021ce33_0_9 30,18,8
e6421d3ee6f4777ca629ad505c35ff92_0_1 22,8
78625d76dbe98ed622834c1ed26d08a0_0_1 0,8,26,29,18,3,17,9
61bee22038b40cd77821422632c6a065_0_0 25,0,9
3a7ca4174d67fa12b3867c83b4a764bf_0_3 30,9
e8c0dd95c1bc944149a36740afffa3ee_0_36 25,9
475a1c569f09d4d7cb32d7f1a1c169ac_0_0 3
3a7073fd8d1c4901285051b2356cc2a0_0_5 29,8
0990fff5776eb1dab5462553f2668568_0_7 25,0,9
7b099346c12b7571850f3e720ff3122e_0_1 18,3,1,8,29,30
2d5210da3d8251b0acdea2ba8ac7209a_0_22 20,8,29,22,11,14,31
1f7de780035334006ae8a988f2203b7f_0_0 3,7,29
158b8b74d1fbb4f5b3f864ae16499037_0_25 26,9,0
aafc125416d7b866a7ae6c00d8ad5f62_0_7 8,7,31,14,29,3
04fb94b3509abe6b501a1aead45752ec_0_24 18,8
058b053b9154fd28b55c275284042a79_0_10 22,20,3,11,16,8
b16bb9eb32ed8b599416378a5ff939c7_0_3 8
e32e692b6f9c914a37e79705a7b71980_0_9 25,0,9
9a72ef4684d30d8608940016342bdfad_1_2 16,3
b8d6f0c97119b93b4b3702da790f89c2_0_6 9,0
d2d21fc7b5b8888f3a0befac972a7c81_0_0 3,29
18bd6324c8c1a1ed1ef3ccb30ae53cea_0_9 10,16,3
433125d1466279005487d092fda3dbae_0_9 7,14,31,8,29,4,27
45897140409beb50cc78e0d52a5b61ea_0_1 14,31,8,29
e36e4c923a2b7d01c1a64e02f5fee823_0_4 29,3
f9ceb068e9cbea532222a7c82908858d_0_8 22,11,8,18,30,20
1c62289315c1e55e7dc053bd665954c3_0_0 8,20,3,11,29,18
24f42b6e2af6f5ce87456ceb6c8ef916_0_72 8,18
f0aa71f72ba3bc8ae7d9bb32d92a69b3_0_4 5,9,0,26
6fe48f08c2be1c6996b55384d9892164_0_16 30,29,8,3
67eeffcdd6cdc682dcae457912d309e5_1_6 18,8,22,29,24,6,10
444b57a37ff5f4cbfae26882acdb9e83_0_6 3,29
06a8c90384748d4a16497d96ab8a57e8_0_6 3,16
f92b2f4f884ff01acbf4326a7c49632a_0_0 0,26,9
eb06e059c3f1cdf72dd0481c71ce7f66_0_16 31,29,8,14,3,7,10
ce7d5d1fe1965be8c55f9244ef44b20c_0_7 22,18,15,8
2386bf18273e4883049839419377f4b4_0_1 23,2,12,14,9,29,8,18,31
535a666c3c073db356280a1510b6cd54_0_0 3,4,16,9,27
37c6735f2b485da81833750ea29a4b3a_1_4 29,3
376e1f71a53425edc9f61844af442e56_0_3 13,9,28,0,26
f1945c33a5bef0dd958d16b7a2982fe1_1_11 14,7,31,27,4,16,3
e5983e9a27ca3475640ba4e808e8da40_0_0 8,29,3,5
156c708c91ce793cd61491b9bf49fd89_0_1 10,3,16
4d5dfbf3fce311ab30a19c8f8bc45a56_0_5 3,16
b9e3dcdfc147241512fdf93ac31b20d0_0_3 9,0,18,30,8,26,25
434bd858e7e5a9dee55efd5a8a051a82_0_3 3,29
c463931f8035f9a5c037cc9367dfa8f1_0_0 16,29,3
5cf98dc10b43762d81b23a015c87d35b_0_3 0,9,26,25
4b24cde0499c1ef3c30d9b06fd59cb7e_0_2 0,9,26
dcc9555e53fb6c705663c1b78395689a_0_0 3,5,29,7
640eb171c9ae2ccdb95f9f348d89d9c9_0_0 29,10,8,31,3,2,14,21
3553613301eb30feb6da6b3ec5587c17_0_4 29,18,8
3c401cab8d4b3afdec5bbf45b73add4a_0_7 3,31,16,14
21055d56fec22541cc24b422f5d17bb7_0_1 30,8,18
2c7893f43c6a5348c0da4761c406ecc6_0_7 2,21,8,29
e0c9e1573581108c8551bd105443407d_1_4 18,9,33,21,23,2,5,8
e3352919d17620a03642e85794914d12_0_6 9,0,26,25
3af7f304657a3717d4fbb9ab24fb7e7e_0_4 28,9
f7ddcabfc8edbb335f20fb20d57c92bd_0_10 3,16
46f7dd934f7b6f6a6ee90e68b521ce41_0_0 29,8,14,31
f765d19ac5b646f5f5e6b87af78b35d1_0_1 31,7,3,14,29
fd81a82e227fe43541253bbcfa78daae_0_2 16,3
